low_24h,ath,id,price_change_24h,ath_change_percentage,image,price_change_percentage_24h,ath_date,current_price,market_cap_rank,market_cap_change_24h,atl,coin_id,market_cap_change_percentage_24h,atl_change_percentage,fully_diluted_valuation,circulating_supply,atl_date,symbol,total_volume,total_supply,last_updated,max_supply,name,market_cap,high_24h,timestamp
0.54648,2.99,235,-0.025400541915323926,-81.43696,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,-4.35825,2025-02-26T16:41:03.732Z,0.557415,35,-174655675.83659554,0.406999,pi-network,-3.96903,36.26364,6501239061.0,7581669449.977066,2025-04-05T04:50:37.033Z,pi,178635360.0,11664106846.11856,2025-06-27T06:25:59.645Z,100000000000.0,Pi Network,4225805390.0,0.588103,1751005559
6.76,44.92,236,-0.32037084229031,-84.56024,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,-4.41622,2021-05-03T05:25:04.822Z,6.93,36,-191777247.08291388,1.03,uniswap,-4.40303,573.21248,6934080159.0,600483073.71,2020-09-17T01:20:38.214Z,uni,416499098.0,1000000000.0,2025-06-27T06:26:01.755Z,1000000000.0,Uniswap,4163797767.0,7.25,1751005561
249.4,661.69,237,-3.199166472414447,-61.05276,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,-1.22567,2021-05-18T21:19:59.514Z,257.82,37,-46791721.52176666,26.02,aave,-1.18256,890.3107,4124924126.0,15166476.048789386,2020-11-05T09:20:11.928Z,aave,409715410.0,16000000.0,2025-06-27T06:26:04.644Z,16000000.0,Aave,3910035185.0,264.12,1751005564
9.13e-06,2.803e-05,238,-3.10236225444e-07,-67.07672,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,-3.25272,2024-12-09T16:30:35.828Z,9.23e-06,38,-128431061.66180277,5.5142e-08,pepe,-3.20322,16634.49082,3881010560.0,420690000000000.0,2023-04-18T02:14:41.591Z,pepe,590326375.0,420690000000000.0,2025-06-27T06:26:04.194Z,420690000000000.0,Pepe,3881010560.0,9.58e-06,1751005564
0.999583,1.22,239,3.412e-05,-17.97297,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.00341,2020-03-13T03:02:50.373Z,0.999796,39,1464449.0,0.88196,dai,0.04014,13.36712,3650008467.0,3650627269.400391,2023-03-11T07:50:50.514Z,dai,56063934.0,3650627269.400391,2025-06-27T06:26:04.138Z,,Dai,3650008467.0,1.0,1751005564
4.66,19.92,240,0.284865,-74.14319,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.85246,2023-01-26T14:25:17.390Z,5.15,40,182456928.0,3.08,aptos,5.83478,67.24421,5919376630.0,644226001.7591089,2022-12-29T21:35:14.796Z,apt,405432192.0,1152259441.368085,2025-06-27T06:26:01.780Z,,Aptos,3309511905.0,5.19,1751005561
1.18,1.29,241,-0.000841700654977684,-8.8132,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,-0.07145,2025-01-29T17:52:32.991Z,1.18,41,6318055.0,1.012,ethena-staked-usde,0.1996,16.28792,3171728834.0,2694673320.160804,2024-04-03T14:23:03.162Z,susde,26753449.0,2694673320.160804,2025-06-27T06:26:04.923Z,,Ethena Staked USDe,3171728834.0,1.18,1751005564
49.62,73.8,242,-0.9837886928659643,-32.26687,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,-1.93043,2024-03-14T00:30:12.502Z,49.98,42,-58104729.63091326,0.580608,okb,-1.90043,8509.82177,11795341968.0,60000000.0,2019-01-14T00:00:00.000Z,okb,7225391.0,235957685.3,2025-06-27T06:26:04.126Z,300000000.0,OKB,2999353537.0,50.96,1751005564
1.0,1.0,243,0.0,0.0,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,0.0,2025-02-12T05:00:10.912Z,1.0,43,-5774801.720000267,1.0,blackrock-usd-institutional-digital-liquidity-fund,-0.20024,0.0,2878152746.0,2878152745.733854,2025-02-12T05:45:10.196Z,buidl,0.0,2878152745.733854,2025-06-27T06:25:09.208Z,,BlackRock USD Institutional Digital Liquidity Fund,2878152746.0,1.0,1751005509
316.74,757.6,244,-7.1393846863985,-57.89956,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,-2.18936,2024-03-07T18:45:36.466Z,318.96,44,-59475716.81218195,30.83,bittensor,-2.04931,934.56161,6700491998.0,8909481.0,2023-05-14T08:57:53.732Z,tao,124091317.0,21000000.0,2025-06-27T06:25:59.897Z,21000000.0,Bittensor,2842757436.0,331.59,1751005559
2.03,20.44,245,-0.05187425658344136,-89.78571,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,-2.42616,2022-01-16T22:09:45.873Z,2.09,45,-62177335.35591984,0.526762,near,-2.36601,296.30934,2624130158.0,1229459955.0,2020-11-04T16:09:15.137Z,near,202238096.0,1257429220.0,2025-06-27T06:26:00.152Z,,NEAR Protocol,2565761074.0,2.17,1751005560
4.67,700.65,246,-0.10175782250523557,-99.32425,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,-2.10326,2021-05-10T16:05:53.653Z,4.74,46,-55895466.60692501,2.87,internet-computer,-2.15859,65.25721,2533549623.0,534931848.1887088,2023-09-22T00:29:57.369Z,icp,51083242.0,534931848.1887088,2025-06-27T06:26:02.189Z,,Internet Computer,2533549623.0,4.89,1751005562
167.04,339.52,247,-4.691647302836117,-49.67005,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,-2.67276,2025-01-19T11:21:54.080Z,170.84,47,-68447659.85496616,0.57898,jito-staked-sol,-2.63117,29414.06767,2532966018.0,14836085.97979555,2023-09-12T10:21:17.665Z,jitosol,24114509.0,14836085.97979555,2025-06-27T06:25:59.244Z,,Jito Staked SOL,2532966018.0,176.71,1751005559
0.080056,0.965407,248,-0.001783800599276436,-91.63831,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,-2.16429,2021-11-24T15:53:54.855Z,0.080636,48,-52533925.128714085,0.0121196,crypto-com-chain,-2.04986,566.0646,7894500665.0,31097091497.66144,2019-02-08T00:00:00.000Z,cro,10585473.0,97796756805.6883,2025-06-27T06:26:05.159Z,100000000000.0,Cronos,2510267390.0,0.083239,1751005565
16.01,167.09,249,-0.3474473209965794,-90.3213,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,-2.10253,2021-05-06T18:34:22.133Z,16.18,49,-51446661.35622978,0.615038,ethereum-classic,-2.04328,2529.38084,2466394103.0,152476021.3009691,2016-07-25T00:00:00.000Z,etc,36394831.0,152476021.3009691,2025-06-27T06:26:00.511Z,210700000.0,Ethereum Classic,2466394103.0,16.57,1751005560
1.056,1.088,250,0.00012745,-2.8622,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,0.01206,2025-02-03T02:31:35.208Z,1.057,50,-4896087.28635931,0.961716,susds,-0.20372,9.88441,2398194332.0,2269407161.665224,2025-01-04T01:21:08.460Z,susds,48174478.0,2269118978.005614,2025-06-27T06:26:05.255Z,,sUSDS,2398498909.0,1.057,1751005565
0.727145,2.14,251,-0.024611770724298432,-65.49328,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,-3.22472,2024-12-16T00:36:00.777Z,0.73861,51,-73765824.27428293,0.082171,ondo-finance,-3.06138,798.73284,7393844748.0,3159107529.0,2024-01-18T12:14:30.524Z,ondo,101286429.0,10000000000.0,2025-06-27T06:25:58.018Z,10000000000.0,Ondo,2335795061.0,0.770404,1751005558
25.71,50.43,252,0.905981,-45.16146,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,3.38485,2025-01-03T19:12:43.038Z,27.67,52,8762189.0,0.111255,tokenize-xchange,0.39749,24758.10543,2766539591.0,79995997.76037452,2019-04-28T00:00:00.000Z,tkx,21743339.0,100000000.0,2025-06-27T06:26:03.866Z,100000000.0,Tokenize Xchange,2213120949.0,27.82,1751005563
0.996684,1.025,253,-0.00134520540856764,-2.44215,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,-0.13446,2025-05-12T12:36:39.412Z,0.999122,53,3990759.0,0.989703,usd1-wlfi,0.1815,1.02002,2202709571.0,2204586586.0,2025-04-16T00:36:15.580Z,usd1,856180118.0,2204586586.0,2025-06-27T06:26:04.862Z,,USD1,2202709571.0,1.005,1751005564
0.595628,1.54,254,-0.009376530946047512,-61.10438,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,-1.54253,2024-04-08T09:45:25.482Z,0.598491,54,-32094873.484899998,0.307978,mantle,-1.5687,94.32976,3721217017.0,3365794382.83684,2023-10-18T02:50:46.942Z,mnt,152921449.0,6219316794.99,2025-06-27T06:26:02.307Z,6219316794.99,Mantle,2013862896.0,0.611568,1751005562
0.073076,0.207411,255,-0.004047395891172673,-64.02054,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,-5.14365,2024-08-01T00:40:47.164Z,0.07464,55,-99161061.91827917,0.00017105,kaspa,-4.8011,43527.91434,1966631136.0,26363807936.34678,2022-05-26T14:42:59.316Z,kas,79138485.0,26369327600.53463,2025-06-27T06:26:00.180Z,28704026601.0,Kaspa,1966219479.0,0.079876,1751005560
4.41,4.46,256,0.00301482,-0.84636,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,0.06818,2025-06-20T17:40:54.918Z,4.42,56,1295898.0,0.398142,fasttoken,0.0682,1011.33405,3846735165.0,429709490.6,2023-01-21T10:15:39.503Z,ftn,56679066.0,869380155.8,2025-06-27T06:26:05.380Z,1000000000.0,Fasttoken,1901330042.0,4.44,1751005565
15.53,25.94,257,-0.7027854133922347,-39.80362,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,-4.29061,2025-01-25T03:07:37.823Z,15.68,57,-92869809.93887782,0.25754,gatechain-token,-4.67157,5962.97314,4684380330.0,121367677.01585002,2020-03-13T02:18:02.481Z,gt,6107881.0,300000000.0,2025-06-27T06:26:06.636Z,,Gate,1895107863.0,16.4,1751005566
8.79,73.43,258,-0.03079120744157038,-87.80103,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,-0.3417,2025-01-19T11:50:34.806Z,8.98,58,-2572071.374960184,4.29,official-trump,-0.143,108.77319,8980421858.0,199999975.635993,2025-01-18T03:40:29.231Z,trump,278713268.0,1000000000.0,2025-06-27T06:25:57.866Z,1000000000.0,Official Trump,1796084153.0,9.05,1751005557
